#,Title,Topic title,WI,Topic areas,AI,Moderator,Company,Summary AI,Notes,Moderator Summary,Samsung Major Responsibility,Work Level
300,BDaT_Session,[119][300] BDaT_Session,N.A.,N.A.,N.A.,Gene Fong,Session chair,,"Session chair announcements for BDaT session, such as meeting report update, meeting schedule and etc.",,,
Rel-15/16/17/18 Legacy Maintenance and TEI,,,,,,,,,,,,
301,NR_IoT_NTN_Maint_Legacy_RF,[119][301] NR_IoT_NTN_Maint_Legacy_RF,Various,"UE RF maintenance
SAN RF maintenance","10.6.1, 10.6.2, 10.6.5",Daniel Hsieh,MediaTek,10.1.3,"NWM to be used.  
Papers related to segmented precompensation to be submitted to 10.6.1 and coordinated by Rafhael (Nokia)",R4-2607213,Bozhi,Monitoring
302,NR_IoT_NTN_Maint_Legacy_Demod_TEI,[119][302] NR_IoT_NTN_Maint_Legacy_Demod_TEI,Various,"Demodulation maintenance
NTN TEI","10.6.3, 10.8 (NTN), 10.9.3 (NTN)",Ojas Choksi,Viasat,10.1.3,NWM to be used,R4-2607214,Bozhi,Monitoring
303,BSRF_Maintenance_Legacy_TEI,[119][303] BSRF_Maintenance_Legacy_TEI,Various,BSRF maintenance and TEI,"10.3, 10.8 (BSRF), 10.9.3 (BSRF)",Aurelian Bria,Ericsson,10.1.3,NWM to be used,R4-2607215,Xin,Monitoring
,,,,,,,,,,,,
Rel-19 Maintenance and TEI,,,,,,,,,,,,
304,BSRF_Maintenance_TEI,[119][304] BSRF_Maintenance_TEI,,Rel-19 BS RF related maintenance,"4.5.2, 4.6.3
",Bing Li,Ericsson,4.1.3,NWM to be used,R4-2607216,Xin,Monitoring
305,NR_IoT_NTN_Maintenance,[119][305] NR_IoT_NTN_Maintenance,,Rel-19 NR and IoT NTN related maintenance ,"4.2.3, 4.5.5 (non RRM), 4.6.5 (non RRM)",Daniel Hsieh,MediaTek,4.1.3,NWM to be used,R4-2607217,Bozhi,Monitoring
306,NR_IoT_NTN_Maintenance_RRM,[119][306] NR_IoT_NTN_Maintenance_RRM,,"Rel-19 NR and IoT NTN related maintenance (RRM part)
Rel-18 NR and IoT NTN RRM maintenance","4.5.5 (RRM), 4.6.5 (RRM), 4.2.1.4, 10.6.4",Derrick Chao,ZTE,4.1.3,NWM to be used,R4-2607218,Xinyan,Monitoring
307,Ku_band_Maintenance,[119][307] Ku_band_Maintenance,NR_NTN_Ku_bands,Rel-19 Ku band maintenance,"4.2.1.1, 4.2.1.2, 4.2.1.3",Moray Rumney,Eutelsat,4.1.3,NWM to be used,R4-2607219,Bozhi,Monitoring
308,Ambient_IoT_maintenance,[119][308] Ambient_IoT_maintenance,Ambient_IoT_Solutions,Rel-19 Ambient IoT maintenance,4.5.7,Ziwei Chen,CMCC,4.1.3,NWM to be used,R4-2607220,,
