119,Title,Topic title,WI,Topic areas,AI covered in the topic thread,Summary agenda,6G Feature lead/5G Moderator,Notes,Type,Samsung Major Responsibility,If Monitoring
100,Main Session,[119][100] Main Session,N.A,N.A,N.A,"2, 3",Yang Tang,"Chair announcements for main session, such as meeting report update, meeting schedule and etc.",,,
6G SI,,,,,,,,,,,
101-A,6G system parameter (part I),[119][101-A] 6G system parameter (part I),FS_6G_Radio,"6G system parameter: waveform (including PA model), channel bandwidth, others","8.2.1, 8.2.2, 8.2.6",8.1,Leo Liu,,,Taekhoon / Jackson / Lili,
101-B,6G system parameter (part II),[119][101-B] 6G system parameter (part II),FS_6G_Radio,"6G system parameter: modulation, channel arrangement, min max CBW for device type","8.2.3, 8.2.4, 8.2.5",8.1,"Jinqiang Xing
",,,Taekhoon / Jackson / Lili,
102-A,6G general RF and UE RF (part I),[119][102-A] 6G general RF and UE RF (part I),FS_6G_Radio,"6G general RF and UE RF: output power requirements, Tx/Rx requirements","8.3.1, 8.3.2, 8.3.3,8.3.6",8.1,Toni Laehteensuo ,,,Tina / Bozhi / Taekhoon / Hongjun,
102-B,6G general RF and UE RF (part II),[119][102-B] 6G general RF and UE RF (part II),FS_6G_Radio,"6G general RF and UE RF: joint UE-BS RF, spectrum aggregation, others","8.3.4, 8.3.5,8.3.7",8.1,"Haijie Qiu
",,,Tina / Bozhi / Taekhoon / Hongjun / Jackson,
104-A,6G spectrum (part I),[119][104-A] 6G spectrum (part I),FS_6G_Radio,"6G spectrum: definition of frequency range, band and band combination defintion and simplification,  spectrum related regulatory survey ","8.5.1, 8.5.2",8.1,"Johannes Hejselbaek
",,,Tina / Taekhoon,
104-B,6G spectrum (part II),[119][104-B] 6G spectrum (part II),FS_6G_Radio,"6G spectrum: band group concept study,",8.5.3,8.1,"Bo Liu
",,,Tina / Taekhoon,
105-A,6G RRM (part I),[119][105-A] 6G RRM (part I),FS_6G_Radio,"6G RRM: unified measurements, UE group for RRM, Sync signal periodicity assessment","8.6.2, 8.6.3",8.1,Jerry Cui,,,Yanze / Dong / Xinyan,
105-B,6G RRM (part II),[119][105-B] 6G RRM (part II),FS_6G_Radio,"6G RRM: measurement gap design, others","8.6.1, 8.6.4",8.1,Jinyup Hwang,,,Yanze / Dong / Xinyan,
107-A,6G AI (part I),[119][107-A] 6G AI (part I),FS_6G_Radio,"6G AI: DPoD, SRS","8.8.1, 8.8.2, 8.8.3",8.1,Jackson Wang,,,Jackson / Tina / Xiaoming / Yunchuan / Lili,
107-B,6G AI (part II),[119][107-B] 6G AI (part II),FS_6G_Radio,6G AI: RRM,8.8.4,8.1,Santhan Thangarasa,,,Jackson / Yanze / Dong,
108,6G spectrum sharing,[119][108] 6G spectrum sharing,FS_6G_Radio,6G spectrum sharing,8.9,8.1,Jingjing Chen,,,Bozhi,
111,6G operation efficiency,[119][111] 6G operation efficiency,FS_6G_Radio,6G operation efficiency,8.12,8.1,Aijun Cao,,,Jackson,
R19 AI for air interface,,,,,,,,,,,
112,R19 AI for air interface,[119][112] R19 AI for air interface,NR_AIML_air,"6.1	Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface	[NR_AIML_air]
",6.1,6.1.1,Valentin Gheorghiu,,,Jackson / Yunchuan,
R19 Spectrum WI maintenance,,,,,,,,,,,
113,R19_spectrum_maintenance,[119][113] R19_spectrum_maintenance,Closed  Rel-19 Wis,"4.2.2 Rel-19 spectrum related WI maintenance (non-NTN)
10.7 Up to Rel-18 Spectrum related WI maintenance

","4.2.2
10.7",4.1.1,xixi Liu,,,Tina / Bozhi,
Rel-19 non-spectrum WI maintenance,,,,,,,,,,,
114,R19_UERF_maintenance_Part1,[119][114] R19_UERF_maintenance_Part1,Closed  Rel-19 Wis,"4.5.1	UE RF requirements (other than NTN)
4.3	UE RF enhancements for NR FR1/FR2 and EN-DC, Phase 4","4.5.1
4.3",4.1.1,"Dan Hu
",,"NWM
",Tina / Bozhi,
115,R19_UERF_maintenance_Part2,[119][115] R19_UERF_maintenance_Part2,TEI19,"4.6.1	UE RF related topics (other than NTN)","4.6.1
",4.1.1,Suhwan Lim,,NWM,Tina / Bozhi,
116,R18_UERF_maintenance,[119][116] R18_UERF_maintenance,Closed Rel-18 Wis,"10.2.3	Rel-18 maintenance
10.9.1	UE RF related topics (other than NTN)","10.2.3
",10.1.1,"Juan Zhang
",,NWM,Tina / Bozhi,
117,Upto_R17_UERF_maintenance,[119][117] Upto_R17_UERF_maintenance,"Closed WIs upto Rel-17
","10.4.1	Up to Rel-16 maintenance
10.4.2	Rel-17 maintenance","10.2.1
10.2.2
10.8

",10.1.1,"Huiping Shan
",,"NWM
",Tina / Bozhi,
119,NR_AIML_air_maintenance,[119][119] NR_AIML_air_maintenance,NR_AIML_air,"4.4	Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface","4.4

",4.1.1,Valentin Gheorghiu,,"NWM
",Jackson / Yunchuan,
R20 basket WI,,,,,,,,,,,
118,R19 feature list,,,,,,Jingjing Chen,,,Jackson,
