index,Title,Topic title,Samsung Major Responsibility,If Monitoring
101-A,6G system parameter (part I),[101-A] 6G system parameter (part I),Taekhoon / Jackson / Lili,
101-B,6G system parameter (part II),[101-B] 6G system parameter (part II),Taekhoon / Jackson / Lili,
102-A,6G general RF and UE RF (part I),[102-A] 6G general RF and UE RF (part I),Tina / Bozhi / Taekhoon / Hongjun,
102-B,6G general RF and UE RF (part II),[102-B] 6G general RF and UE RF (part II),Tina / Bozhi / Taekhoon / Hongjun / Jackson,
104-A,6G spectrum (part I),[104-A] 6G spectrum (part I),Tina / Taekhoon,
104-B,6G spectrum (part II),[104-B] 6G spectrum (part II),Tina / Taekhoon,
105-A,6G RRM (part I),[105-A] 6G RRM (part I),Yanze / Dong / Xinyan,
105-B,6G RRM (part II),[105-B] 6G RRM (part II),Yanze / Dong / Xinyan,
107-A,6G AI (part I),[107-A] 6G AI (part I),Jackson / Tina / Xiaoming / Yunchuan / Lili,
107-B,6G AI (part II),[107-B] 6G AI (part II),Jackson / Yanze / Dong,
108,6G spectrum sharing,[108] 6G spectrum sharing,Bozhi,
111,6G operation efficiency,[111] 6G operation efficiency,Jackson,
112,R19 AI for air interface,[112] R19 AI for air interface,Jackson / Yunchuan,
113,R19_spectrum_maintenance,[113] R19_spectrum_maintenance,Tina / Bozhi,
114,R19_UERF_maintenance_Part1,[114] R19_UERF_maintenance_Part1,Tina / Bozhi,
115,R19_UERF_maintenance_Part2,[115] R19_UERF_maintenance_Part2,Tina / Bozhi,
116,R18_UERF_maintenance,[116] R18_UERF_maintenance,Tina / Bozhi,
117,Upto_R17_UERF_maintenance,[117] Upto_R17_UERF_maintenance,Tina / Bozhi,
119,NR_AIML_air_maintenance,[119] NR_AIML_air_maintenance,Jackson / Yunchuan,
