#,Title,Topic title,WI,Topic areas,AI,Moderator,Company,Summary AI,Notes,Samsung Major Responsibility,Work Level
300,BDaT_Session,[118bis][300] BDaT_Session,N.A.,N.A.,N.A.,Gene Fong,Session chair, ,"Session chair announcements for BDaT session, such as meeting report update, meeting schedule and etc.", , 
Rel-15/16/17/18 Legacy Maintenance and TEI, , , , , , , , , , , 
 , , , , , , , , , , , 
Rel-19 Maintenance and TEI, , , , , , , , , , , 
 , , , , , , , , , , , 
Rel-20 5G-A Spectrum and baskets, , , , , , , , , , , 
320,NR_LTE_combos_Features,[118bis][320] NR_LTE_combos_Features,NR_LTE_combos_Features_R20-Core, ,"5.2.1, 5.2.2, 5.2.3, 5.2.4",Bo Liu,China Telecom,5.1,NWM or equivalent to be used,Bozhi, 
321,DC_xBLTE_yBNR,[118bis][321] DC_xBLTE_yBNR,DC_xBLTE_yBNR_R20_HPUE-Core, ,"5.3.1, 5.3.2, 5.3.3, 5.3.4, 5.3.5, 5.3.6, 5.3.7","Basaier Jialade
",China Unicom,5.1,NWM or equivalent to be used,Tina, 
322,NR_bands_xFeature,[118bis][322] NR_bands_xFeature,NR_bands_xFeature_R20-Core, ,"5.4.1, 5.4.2, 5.4.3, 5.4.4, 5.4.5","Wubin Zhou
",ZTE,5.1,NWM or equivalent to be used,Bozhi, 
323,NTN_bands_Features,[118bis][323] NTN_bands_Features,NTN_bands_Features_R20-Core, ,"5.5.1, 5.5.2, 5.5.3, 5.5.4, 5.5.5, 5.5.6","Daniel Popp
",Apple,5.1,NWM or equivalent to be used,Bozhi, 
324,NR_CADC_SUL,[118bis][324] NR_CADC_SUL,NR_CADC_SUL_R20_HPUE-Core, ,"5.6.1, 5.6.2, 5.6.3, 5.6.4, 5.6.5, 5.6.6, 5.6.7, 5.6.8, 5.6.9","Per Lindell
",Ericsson,5.1,NWM or equivalent to be used,Tina, 
325,NR_Bands_BW_PC_BC_RedCap,[118bis][325] NR_Bands_BW_PC_BC_RedCap,NR_Bands_BW_PC_BC_Redcap_R20-Core, ,"5.7.1, 5.7.2, 5.7.3, 5.7.4, 5.7.5","Alok Sethi
",Nokia,5.1,NWM or equivalent to be used,Bozhi, 
326,LTE_CA_xBDL_yBUL,[118bis][326] LTE_CA_xBDL_yBUL,LTE_CA _R20_xBDL_yBUL-Core, ,"5.8.1, 5.8.2",Mohammad Abdi Abyaneh,Huawei,5.1,NWM or equivalent to be used,Tina, 
327,NR_1.5GHz_Japan,[118bis][327] NR_1.5GHz_Japan,NR_1500MHz_JP-Core, ,"5.10.1, 5.10.2, 5.10.3","Yasuki Suzuki
",KDDI,5.1,NWM or equivalent to be used,Bozhi, 
328,NR_EESS_PC1_40GHz,[118bis][328] NR_EESS_PC1_40GHz,NR_40GHz_EESSprot_PC1-Core, ,"5.11.1, 5.11.2, 5.11.3, 5.11.4","Ryu Kitagawa
",NTT DoCoMo,5.1,NWM or equivalent to be used,Bozhi, 
 , , , , , , , , , , , 
Rel-20 UE RF, , , , , , , , , , , 
340,NR_UE_RF_Ph5,[118bis][340] NR_UE_RF_Ph5,NR_UE_RF_Ph5-Core,"Rel-20 UE RF:  General aspects, HPUE requirements","7.1.2, 7.1.4","Alok Sethi
",Nokia,7.1.1, ,Tina / Bozhi, 
341,NR_UE_RF_Ph5_Part2,[118bis][341] NR_UE_RF_Ph5_Part2,NR_UE_RF_Ph5-Core,"Rel-20 UE RF:  HPUE coexistence, 6 MHz CBW","7.1.3, 7.1.5.1, 7.1.5.2",Tina Zhang,Samsung,7.1.1, ,Tina / Bozhi, 
342,NR_low_band_CA_switching,[118bis][342] NR_low_band_CA_switching,NR_LBCA_Sw_enh-Core,"Rel-20 LBCA: General aspects, UE RF","7.8.2, 7.8.3",James Wang,Apple,7.8.1,"
RRM part 7.8.4 is handled in RRM session",Taekhoon, 
343,NR_TDD_4.9GHz_band,[118bis][343] NR_TDD_4.9GHz_band,NR_TDD_band_4900MHz_US-Core,4.9 GHz band for US,5.9,Masashi Fushiki ,Fujitsu,5.1,Work item on hold pending FCC feedback, , 
344,NR_less_than_5MHz_RedCap_UERF,[118bis][344] NR_less_than_5MHz_RedCap_UERF,NR_RRM_Ph6-Core,Less than 5 MHz for (e)Redcap UERF,7.4.3.1,Kun Zhao,Sony,7.4.1,No contributions expected at RAN4 #118bis, , 
 , , , , , , , , , , , 
Rel-20 BS RF, , , , , , , , , , , 
